id;name;unique_name;study_program_id
1;redefine Creative Credit Card Account;Causeway override Cross-group;1
2;leading-edge unleash;European Monetary Unit (E.M.U.-6);2
3;Alabama;markets;3
4;ROI visualize;technologies database;4
5;Pines Shirt;Secured;5
6;AI Personal Loan Account back-end;Intelligent Cotton Fish Dalasi Fully-configurable;6
7;Rubber;National Digitized networks;7
8;Auto Loan Account;Pants Ouguiya COM;8
9;Rustic transmit;Maine yellow Senior;9
10;Pennsylvania invoice Integration;Connecticut ADP eyeballs;10
